Domain,Category,Registration Date,Expiration Date,Renewal Type,DNS Provider,Strategic Priority,Annual Cost,Status,Security Features,Notes,Action Required,Last Updated
peoplemakeitbetter.com,Business,2006-08-01,2026-08-01,Auto,InMotion Hosting,High,15,Active,"Locked, Privacy",Primary Toilville brand - 19 years old,FALSE,2025-07-24
itstoilville.com,Business,2024-11-24,2028-11-24,Manual,InMotion Hosting,High,15,Active,"Locked, Privacy",Core Toilville ecosystem brand,TRUE,2025-07-24
toilville.llc,Legal,2025-02-15,2026-02-15,Manual,Dynadot Parking,High,35,Parked,"Locked, Privacy",Legal entity protection - needs DNS config,TRUE,2025-07-24
fuxcapacity.com,Creative,2024-11-10,2026-11-10,Manual,Google Domains,Medium,15,Active,"Locked, Privacy",Active creative project - consolidate DNS,TRUE,2025-07-24
peterswimm.com,Personal,2012-04-17,2026-04-17,Manual,InMotion Hosting,Medium,15,Active,"Locked, Privacy",Personal brand - 13 years old,TRUE,2025-07-24
peterswimm.org,Personal,2015-10-05,2033-10-05,Manual,InMotion Hosting,Medium,15,Active,"Locked, Privacy",Personal brand backup - long-term secure,FALSE,2025-07-24
truechiptilldeath.com,Personal,2008-10-15,2026-10-15,Manual,InMotion Hosting,Low,15,Active,"Locked, Privacy",Historic creative project - 17 years old,TRUE,2025-07-24
tctd.us,Personal,2011-04-28,2026-04-27,Manual,InMotion Hosting,Low,10,Active,"Locked, Privacy",Short domain for creative project,TRUE,2025-07-24
pulsewave.rip,Creative,2021-03-09,2026-03-09,Manual,InMotion Hosting,Low,18,Active,"Locked, Privacy",Music project domain,TRUE,2025-07-24
fuxcapa.city,Creative,2025-02-13,2026-02-13,Manual,Dynadot Parking,Low,23,Parked,"Locked, Privacy",Creative project backup - recent acquisition,TRUE,2025-07-24
